SampleIndex,StartCandleIndex,StartCandleId,TradeIndex,Loss,MAE,MSE,BuyProfitPercent,BuyOrderDuration,BuyOrderForcedClose,BuyOrderTradesCount,SellProfitPercent,SellOrderDuration,SellOrderForcedClose,SellOrderTradesCount
45168,1525632,29060313,121566611,0.2999072671,0.5122117996,0.2999072671,-0.0105516197,7199246643,false,31272,0.0105834613,7200861394,true,34644
45169,293383,27547778,10457111,0.0352877229,0.1595215648,0.0352877229,-0.0163452053,7198082000,false,8176,0.0165578218,7200836000,true,6824
45170,413718,27668194,20880934,0.0043309331,0.0658086985,0.0043309331,-0.0011796085,7194880000,true,3787,0.0012649699,7201958000,true,4334
45172,1054711,28589349,45589164,0.0989574194,0.3091855347,0.0989574194,0.0040909685,7190313000,true,1922,-0.0041934685,7202212000,true,2051
45173,1129738,28664411,51410944,0.0106239505,0.0851188749,0.0106239505,0.0009298943,7200025000,true,4300,-0.0009282541,7193058000,true,1728
45174,1736115,29270796,194451445,0.0003219146,0.0178380385,0.0003219146,0.0039707947,7199776283,true,17258,-0.0039566210,7200189709,true,14141
45175,467998,27722474,27668172,0.0291065183,0.1595839560,0.0291065183,-0.0002588773,7201509000,true,3286,0.0002578864,7199718000,true,3627
45176,28394,27281838,1155460,0.1023772433,0.2942791581,0.1023772433,0.0048139660,7197148000,true,1602,-0.0051578304,7201609000,true,1525
45177,1255992,28790672,74892826,0.0106868884,0.1000759974,0.0106868884,-0.0055621000,7196242000,true,10454,0.0055870047,7200464000,true,14626
45178,336850,27591313,13633169,0.1618476510,0.3741218448,0.1618476510,0.0078939388,7197123000,true,3832,-0.0076117021,7200202000,true,3968
45179,1766450,29301131,202630573,0.0102183297,0.0895706415,0.0102183297,0.0039148055,7196588485,true,18244,-0.0039150634,7202598357,true,17198
45180,538922,28034737,30571264,0.0214093775,0.1443518847,0.0214093775,-0.0182982541,6620011000,false,1439,0.0200005572,6621544000,false,1321
45181,391636,27646112,18840364,0.0224809311,0.1298462451,0.0224809311,-0.0080450795,7197791000,true,6221,0.0083193399,7201400000,true,7137
45182,1689016,29223697,184703291,0.0033641958,0.0542050228,0.0033641958,0.0116467903,7200244250,true,22529,-0.0113645986,7199029210,false,20698
45183,920459,28455006,36781251,0.0095652631,0.0941193849,0.0095652631,0.0006987914,7195598000,true,3770,-0.0006583694,7204257000,true,2843
45184,146619,27400440,4563035,0.0109095592,0.0842200741,0.0109095592,-0.0011179175,7138822000,true,1478,0.0013016291,7212855000,true,1688
45185,496823,27987918,29955811,0.0004925637,0.0214228313,0.0004925637,0.0070670262,7181880000,true,1370,-0.0076254064,7204914000,true,732
45186,1279168,28813848,77146043,0.1505407691,0.3865477443,0.1505407691,0.0015928186,7190193000,true,2696,-0.0013012365,7210219000,true,3066
45187,1697076,29231757,186211891,1.3809970617,0.8647459745,1.3809970617,0.0047729896,7197899822,true,13736,-0.0047729900,7200798439,true,7261
45188,805909,28339256,33589767,0.0053326045,0.0532998592,0.0053326045,0.0021482636,7157589000,true,298,-0.0023532232,7200000000,true,570
45189,375003,27629478,16927948,0.0253929645,0.1331229061,0.0253929645,-0.0138916927,7201822000,true,5020,0.0145434086,7196473000,true,6228
45192,1384459,28919140,93652827,0.0936737955,0.2928078771,0.0936737955,0.0060790338,7196314000,true,5559,-0.0061180962,7200091000,true,5211
45193,1342104,28876785,86920900,0.1802036166,0.4178417921,0.1802036166,0.0053267003,7200136000,true,18269,-0.0049042716,7196981000,true,17630
45194,1782040,29316721,207875424,0.0570825040,0.2356379628,0.0570825040,-0.0014234824,7204933071,true,16440,0.0015255576,7182641918,true,13312
45195,1605331,29140012,155017099,0.0095630782,0.0855106711,0.0095630782,0.0005530841,7201230494,true,24045,-0.0005531761,7197151555,true,16917
45196,1003412,28538016,42527268,0.0084329499,0.0819261074,0.0084329499,-0.0058986157,7206874000,true,3236,0.0065343431,7189131000,true,3567
45197,1251145,28785825,73943208,0.0324526243,0.1737039238,0.0324526243,0.0021751671,7192874000,true,7557,-0.0021751674,7200044000,true,22858
45199,879936,28414418,35099401,0.0537690967,0.2146762908,0.0537690967,0.0010562243,7213251000,true,1338,-0.0008533092,7194131000,true,1493
45201,878078,28412560,35026794,0.0006651756,0.0220015347,0.0006651756,0.0001601434,7206125000,true,1573,-0.0002367926,7191900000,true,2085
45203,1180523,28715198,63385174,0.0002482454,0.0140298028,0.0002482454,0.0006473656,7200363000,true,8971,-0.0100686821,7198305000,false,9442
