SampleIndex,StartCandleIndex,StartCandleId,TradeIndex,Loss,MAE,MSE,BuyProfitPercent,BuyOrderDuration,BuyOrderForcedClose,BuyOrderTradesCount,SellProfitPercent,SellOrderDuration,SellOrderForcedClose,SellOrderTradesCount
139090,1743399,29328861,239856981,0.0000029198,0.0017018507,0.0000029198,-0.0010922182,7201433824,true,19925,0.0011097276,7198549749,true,18258
139095,1594160,29179622,172935714,0.0000259505,0.0037708324,0.0000259505,-0.0100526568,7191985785,false,10607,-0.0011211588,7204307139,true,12872
139097,1336905,28922360,56895740,0.0000194118,0.0043860162,0.0000194118,0.0052217357,7201615000,true,1972,-0.0050652493,7159186000,true,1790
139099,214775,27488945,3767808,0.0001213930,0.0107126068,0.0001213930,0.0095895546,7165114000,true,1979,-0.0089586086,7204387000,true,2825
139101,1253752,28839193,44108238,0.0000184332,0.0040182672,0.0000184332,0.0029302250,7201348000,true,3728,-0.0029567831,7196722000,true,3484
139102,1297657,28883111,51136991,0.0000052514,0.0021647050,0.0000052514,-0.0006148652,7204944000,true,6179,0.0009303680,7198659000,true,5755
139104,1490401,29075863,120832763,0.0000168683,0.0038084039,0.0000168683,0.0033896208,7199910572,true,88276,-0.0034393809,7200026798,true,90471
139107,1028113,28612313,25890633,0.0000690436,0.0081467293,0.0000690436,-0.0076296312,7200812000,true,827,0.0082421357,7191470000,true,768
139108,413423,27688302,14512191,0.0000731561,0.0085520530,0.0000731561,0.0096887699,7178962000,true,2188,-0.0098253005,7201127000,true,2918
139109,1070400,28655444,27680287,0.0000230002,0.0045930799,0.0000230002,0.0041134718,7175687000,true,5484,-0.0034788741,7206312000,true,2207
139111,1208053,28793425,40973450,0.0000359429,0.0059086075,0.0000359429,0.0053478757,7199540000,true,4745,-0.0053289315,7201584000,true,4640
139114,1454368,29039830,89789939,0.0003983895,0.0199324805,0.0003983895,-0.0195617197,4619460588,false,43096,0.0200175086,4619462686,false,57453
139117,1532139,29117601,153269446,0.0003463448,0.0185948890,0.0003463448,-0.0198307763,5189139714,false,17035,0.0200044801,5189145231,false,21027
139118,969741,28553440,23837901,0.0000775982,0.0073689772,0.0000775982,-0.0004044457,7203108000,true,1460,-0.0100180882,7197346000,false,1374
139121,1752273,29337735,245878566,0.0004735815,0.0217135157,0.0004735815,0.0200022527,3086511122,false,20871,-0.0196158037,3086507687,false,16855
139123,1251342,28836782,43877821,0.0000430197,0.0064368690,0.0000430197,0.0055700103,7199575000,true,8718,-0.0052472631,7200803000,true,9145
139124,1338483,28923938,56959834,0.0000035820,0.0018616841,0.0000035820,0.0021848198,7204563000,true,1999,-0.0020810178,7199380000,true,1341
139125,1262713,28848167,45109487,0.0001163018,0.0107394615,0.0001163018,0.0099870348,7201619000,true,19145,-0.0100480476,7198151000,false,24131
139126,1445063,29030525,83143397,0.0000130514,0.0035962407,0.0000130514,0.0036975907,7200095643,true,79092,-0.0037087257,7199901711,true,80178
139128,1518504,29103966,142860480,0.0000295496,0.0054329084,0.0000295496,-0.0049930304,7200369788,true,21800,0.0049600906,7197579555,true,22934
139129,1245770,28831202,43497301,0.0000058635,0.0022752611,0.0000058635,0.0025086613,7200149000,true,7206,-0.0023227773,7188238000,true,6533
139135,1767266,29352728,255347250,0.0000346063,0.0058286069,0.0000346063,0.0070942134,7200127718,true,23209,-0.0071203302,7199792998,true,18975
139137,1596709,29182171,173488196,0.0000177362,0.0041410765,0.0000177362,0.0042771670,7198214388,true,18179,-0.0042935879,7200731156,true,19620
139139,1138916,28724169,35784672,0.0000888603,0.0094265528,0.0000888603,-0.0100337454,7014686000,false,6037,-0.0102621723,7014264000,false,5342
139140,1336275,28921730,56853384,0.0000806734,0.0089380061,0.0000806734,0.0093130006,7200263000,true,8493,-0.0101740028,7199588000,false,6998
139141,1469388,29054850,98397683,0.0000005355,0.0007178825,0.0000005355,0.0011957042,7199140282,true,16663,-0.0010162381,7200124889,true,17820
139142,1247001,28832433,43588207,0.0000800339,0.0088426396,0.0000800339,0.0103368115,7187051000,true,4472,-0.0101766669,7202814000,true,2851
139143,1212635,28798009,41476312,0.0004941922,0.0221755430,0.0004941922,-0.0192560738,7008412000,false,10632,0.0200026560,7009992000,false,12079
139144,1088349,28673565,29347414,0.0004025641,0.0200216696,0.0004025641,0.0200479924,1503337000,false,6297,-0.0191532662,1503289000,false,9751
139151,394638,27669508,13422660,0.0000012617,0.0011219287,0.0000012617,-0.0004080703,7200497000,true,4639,0.0008052639,7199498000,true,5783
139152,263748,27538470,5362288,0.0001125933,0.0105763506,0.0001125933,-0.0108467577,1623102000,false,920,-0.0100179045,1622976000,false,1369
139157,1648729,29234191,196645534,0.0004478020,0.0211379435,0.0004478020,-0.0200015995,6753535101,false,21500,0.0200016546,6753589399,false,80635
139158,1236970,28822391,42824400,0.0000019873,0.0013253302,0.0000019873,0.0009508152,7203458000,true,874,-0.0002839425,7148270000,true,1158
139160,1300954,28886408,51562162,0.0000000259,0.0001531159,0.0000000259,0.0015871362,7201441000,true,4512,-0.0017461288,7194967000,true,9943
139161,1495127,29080589,125958233,0.0000123327,0.0034987757,0.0000123327,0.0050261435,7200168883,true,34692,-0.0051026222,7199985696,true,39586
139162,1572109,29157571,165128074,0.0000141488,0.0035865162,0.0000141488,0.0034249954,7200464992,true,14895,-0.0032666588,7194437499,true,15965
139163,200545,27474621,3352535,0.0000648162,0.0079981722,0.0000648162,0.0068563593,7200622000,true,2325,-0.0100256849,7198449000,false,2536
139164,335189,27610019,9789759,0.0000998108,0.0099208318,0.0000998108,-0.0083837233,7200350000,true,3532,0.0092013501,7199658000,true,3746
139165,1594304,29179766,172963072,0.0000084340,0.0028490154,0.0000084340,-0.0022012076,7200109414,true,5843,0.0021971175,7199919299,true,6785
139166,990724,28574520,24353186,0.0000481244,0.0068443292,0.0000481244,-0.0067288094,7206711000,true,3469,0.0073684315,7199689000,true,3602
139167,1024317,28608420,25771189,0.0000062107,0.0022961148,0.0000062107,0.0038477554,7200290000,true,2052,-0.0024976773,7199708000,true,1381
139168,1284887,28870341,49204353,0.0002246525,0.0149830952,0.0002246525,-0.0116134248,7200096000,true,7127,0.0115896796,7192834000,true,7194
139170,332745,27607575,9622461,0.0000727012,0.0083371792,0.0000727012,-0.0101163598,7199796000,false,1805,0.0060270261,7200653000,true,1906
139171,1032185,28616427,26073901,0.0000114298,0.0032680668,0.0000114298,0.0030140504,7205336000,true,2463,-0.0024969988,7191188000,true,1086
139172,1549464,29134926,158852244,0.0000129306,0.0035734088,0.0000129306,-0.0036318052,7199406478,true,11260,0.0038185524,7200848900,true,8679
139173,185005,27458442,3057313,0.0000357329,0.0059139119,0.0000357329,0.0054322836,7199267000,true,1535,-0.0050259669,7202934000,true,2128
139175,1508161,29093623,135302616,0.0000068129,0.0025478399,0.0000068129,-0.0020587063,7200292798,true,44164,0.0021362318,7199889233,true,42089
139177,1603149,29188611,174667137,0.0000529736,0.0072741215,0.0000529736,0.0065849960,7201940040,true,10272,-0.0066295669,7199121231,true,8915
139178,1006194,28590066,24795860,0.0000005862,0.0006334910,0.0000005862,-0.0007764562,7197560000,true,1373,0.0009445595,7201493000,true,757
139179,213228,27487398,3706397,0.0003523358,0.0187231451,0.0003523358,-0.0179109880,6111252000,false,2492,0.0200180868,6111629000,false,2422
139180,1477070,29062532,104448538,0.0000923591,0.0095150881,0.0000923591,-0.0100007875,4685479792,false,57300,-0.0100799874,4685485655,false,63798
139185,1707120,29292582,224819024,0.0000768306,0.0087509612,0.0000768306,0.0087640251,7199788722,true,20487,-0.0087640449,7200429652,true,18942
139186,259526,27534248,5002633,0.0000642793,0.0080138370,0.0000642793,-0.0061834979,7214374000,true,1344,0.0063636068,7183895000,true,1758
139188,1307352,28892806,52692501,0.0000252250,0.0049099410,0.0000252250,0.0036147689,7193688000,true,4413,-0.0035621356,7202331000,true,6156
139189,1515318,29100780,140703611,0.0001562008,0.0124980044,0.0001562008,0.0123498053,7200251031,true,37175,-0.0123609463,7199979293,false,41686
139193,930391,28513691,22731234,0.0003691182,0.0191971976,0.0003691182,-0.0199877109,2295533000,false,1023,0.0200155733,2296097000,false,1179
139197,1525520,29110982,146930644,0.0003707006,0.0192477554,0.0003707006,0.0200042389,3620356185,false,40273,-0.0197156769,3620101754,false,34280
139199,1055644,28640475,26791904,0.0000075359,0.0025657516,0.0000075359,0.0013875792,7211642000,true,1128,-0.0012148466,7114731000,true,971
139200,1381462,28966921,62307354,0.0002367048,0.0153772477,0.0002367048,0.0157790240,7200638786,true,4860,-0.0156156004,7198500025,false,3448
139202,1713698,29299160,226838467,0.0000125016,0.0034872498,0.0000125016,0.0023210462,7200218104,true,16033,-0.0021987443,7195395709,true,16826
139203,1391599,28977058,64428624,0.0000464259,0.0068032714,0.0000464259,-0.0055537188,7201128316,true,8636,0.0057654628,7199566066,true,8834
139204,281623,27556383,6298669,0.0003407293,0.0183842778,0.0003407293,-0.0184567003,4560478000,false,1840,0.0201420475,4563328000,false,2297
139207,1217079,28802459,41736560,0.0001330283,0.0115244500,0.0001330283,0.0097052525,7195684000,true,1679,-0.0093256725,7202842000,true,1657
139209,1498134,29083596,127559657,0.0000140021,0.0037300000,0.0000140021,0.0043329733,7200936717,true,24362,-0.0042198332,7195462083,true,29828
139210,1183200,28768522,39062868,0.0000005732,0.0007412048,0.0000005732,-0.0005170543,7156698000,true,3001,0.0010847412,7203517000,true,2238
139211,223493,27497797,3996276,0.0000263642,0.0051336391,0.0000263642,0.0041478886,7221408000,true,904,-0.0049304563,7077092000,true,867
139212,1577454,29162916,167794923,0.0000000112,0.0001053427,0.0000000112,0.0015631871,7200099077,true,21976,-0.0014430822,7199359080,true,22576
139215,1131087,28716335,35080469,0.0003694051,0.0192165039,0.0003694051,0.0201174442,1656773000,false,2020,-0.0202044681,1655359000,false,948
139221,1253797,28839238,44110391,0.0000023663,0.0013814812,0.0000023663,-0.0022806054,7199071000,true,4332,0.0023712840,7203435000,true,4383
